2022-10-27 10:17:02 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2022-10-27 10:17:03 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 11.0.17 on c4b207a534ec with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2022-10-27 10:17:03 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2022-10-27 10:17:19 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2022-10-27 10:17:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-27 10:17:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-27 10:17:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-10-27 10:17:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-27 10:17:25 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-27 10:17:25 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 20101 ms
2022-10-27 10:17:34 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-27 10:17:34 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2022-10-27 10:17:34 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-27 10:17:34 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2022-10-27 10:17:34 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-27 10:17:34 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2022-10-27 10:17:34 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3dfd6220, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3815146b, org.springframework.security.web.context.SecurityContextPersistenceFilter@6d69a0d3, org.springframework.security.web.header.HeaderWriterFilter@57186526, org.springframework.security.web.csrf.CsrfFilter@19b75b2b, org.springframework.security.web.authentication.logout.LogoutFilter@b1b471, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@8b13d91, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@611d0763, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6de43bc1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7c453c34, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@257f30f7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75882261, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27a9f025, org.springframework.security.web.session.SessionManagementFilter@66f16742, org.springframework.security.web.access.ExceptionTranslationFilter@261f359f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6380e9e9]
2022-10-27 10:17:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-27 10:17:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-27 10:17:59 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 86.301 seconds (JVM running for 109.53)
2022-10-27 10:18:01 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-27 10:18:01 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-27 10:18:01 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2022-10-27 11:40:01 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16041317253185427027/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-16041317253185427027/'
2022-10-27 11:40:01 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16041317253185427027/config-client.yml]' via location 'file:/tmp/config-repo-16041317253185427027/'
2022-10-27 11:41:40 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16041317253185427027/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-16041317253185427027/'
2022-10-27 11:41:40 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16041317253185427027/config-client.yml]' via location 'file:/tmp/config-repo-16041317253185427027/'
